岗位名称,类别,职位名称,所属地,专业学科,学历要求,岗位描述
002.建筑材料试验员（济南）,正式,建筑工程师,济南市 青岛市 临沂市 济宁市 泰安市,材料科学与工程,本科及以上,1、材料、建筑、土木、电工、高分子材料、消防相关专业;2、吃苦耐劳，责任心强，有驾照者优先考虑，可接受实习生或应届毕业生；3、能够熟练使用办公软件，有良好的沟通能力、组织协调能力和团队协作精神；4、有检验检测行业相关工作经验者优先。
,正式,建筑工程师,济南市 青岛市 临沂市 济宁市 泰安市,无机非金属材料工程,本科及以上,1、材料、建筑、土木、电工、高分子材料、消防相关专业;2、吃苦耐劳，责任心强，有驾照者优先考虑，可接受实习生或应届毕业生；3、能够熟练使用办公软件，有良好的沟通能力、组织协调能力和团队协作精神；4、有检验检测行业相关工作经验者优先。
007主体钢结构检测员（济南）,正式,建筑工程,济南市 青岛市 济宁市 临沂市,建筑类,本科及以上,1、建工、土木、材料、机械等相关专业，可接受实习生或应届毕业生；2、可出差，吃苦耐劳，有较强的学习能力及执行力；3、有驾驶经验者优先考虑。
,正式,建筑工程,济南市 青岛市 济宁市 临沂市,工程管理,本科及以上,1、建工、土木、材料、机械等相关专业，可接受实习生或应届毕业生；2、可出差，吃苦耐劳，有较强的学习能力及执行力；3、有驾驶经验者优先考虑。
,正式,建筑工程,济南市 青岛市 济宁市 临沂市,土木工程,本科及以上,1、建工、土木、材料、机械等相关专业，可接受实习生或应届毕业生；2、可出差，吃苦耐劳，有较强的学习能力及执行力；3、有驾驶经验者优先考虑。
,正式,建筑工程,济南市 青岛市 济宁市 临沂市,道路桥梁与渡河工程,本科及以上,1、建工、土木、材料、机械等相关专业，可接受实习生或应届毕业生；2、可出差，吃苦耐劳，有较强的学习能力及执行力；3、有驾驶经验者优先考虑。
,正式,建筑工程,济南市 青岛市 济宁市 临沂市,土木、水利与海洋工程,本科及以上,1、建工、土木、材料、机械等相关专业，可接受实习生或应届毕业生；2、可出差，吃苦耐劳，有较强的学习能力及执行力；3、有驾驶经验者优先考虑。
,正式,建筑工程,济南市 青岛市 济宁市 临沂市,水利水电工程,本科及以上,1、建工、土木、材料、机械等相关专业，可接受实习生或应届毕业生；2、可出差，吃苦耐劳，有较强的学习能力及执行力；3、有驾驶经验者优先考虑。
管培生,正式,建筑工程师,济南市,材料科学与工程,硕士及以上,任职要求：1、优秀应届毕业生及实习生，本科及以上学历，材料、建筑、土木、高分子材料等相关专业优先考虑；2、工作积极主动，乐于沟通，有较强的学习能力及适应能力；3、综合素质较好，具备良好的组织、协调能力，有一定抗压能力及管理潜质；4、有意向从事检测行业。6、档案关系保障：可接收人事、党员档案关系（公司设有党支部），可评职称；7、岗位晋升：完善的晋升制度，技术、管理、市场三通道职业发展路线，为每一个有梦想、求发展、敢于拼搏的人提供公平合理的晋升平台，我们做的不只是一份工作，更是未来的事业！
,正式,建筑工程师,济南市,电气工程及其自动化,硕士及以上,任职要求：1、优秀应届毕业生及实习生，本科及以上学历，材料、建筑、土木、高分子材料等相关专业优先考虑；2、工作积极主动，乐于沟通，有较强的学习能力及适应能力；3、综合素质较好，具备良好的组织、协调能力，有一定抗压能力及管理潜质；4、有意向从事检测行业。6、档案关系保障：可接收人事、党员档案关系（公司设有党支部），可评职称；7、岗位晋升：完善的晋升制度，技术、管理、市场三通道职业发展路线，为每一个有梦想、求发展、敢于拼搏的人提供公平合理的晋升平台，我们做的不只是一份工作，更是未来的事业！
,正式,建筑工程师,济南市,土木工程,硕士及以上,任职要求：1、优秀应届毕业生及实习生，本科及以上学历，材料、建筑、土木、高分子材料等相关专业优先考虑；2、工作积极主动，乐于沟通，有较强的学习能力及适应能力；3、综合素质较好，具备良好的组织、协调能力，有一定抗压能力及管理潜质；4、有意向从事检测行业。6、档案关系保障：可接收人事、党员档案关系（公司设有党支部），可评职称；7、岗位晋升：完善的晋升制度，技术、管理、市场三通道职业发展路线，为每一个有梦想、求发展、敢于拼搏的人提供公平合理的晋升平台，我们做的不只是一份工作，更是未来的事业！
